SMILE	Compound_IDs	Class
CC(C)(NC1CCCC1)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL479780, 50251622	1
CC(C)(NCC1CC1)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL517843, 50251621	1
CC(C)(NCCC1=CC=CC=C1)C1=NC2=C(C(N)=O)C=CC=C2N1	CHEMBL482055, 50251655	1
CC(C)(O)C(=O)NC1=CC(CC2=NNC(=O)C3=C2CCCC3)=CC=C1F	214310, CHEMBL3936732	1
CC(C)(O)C1=CC=C(C2=NC(=O)C3=C(Cl)C=CC=C3N2)C=C1	CHEMBL4457607, 50505344	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=C(F)C(F)=CC=C3N2)C=C1	CHEMBL4545573, 50505348	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=C(F)C=CC(F)=C3N2)C=C1	CHEMBL4454894, 50505330	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=C(F)C=CC=C3N2)C=C1	CHEMBL4548930, 50505329	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=CC(Cl)=CC=C3N2)C=C1	CHEMBL4566814, 50505347	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=CC(F)=CC(F)=C3N2)C=C1	CHEMBL4437173, 50505333	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=CC(F)=CC=C3N2)C=C1	CHEMBL4447252, 50505339	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=CC(F)=CC=C3N2)N=C1	CHEMBL4585900, 50505328	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=CC=CC(Cl)=C3N2)C=C1	CHEMBL4514589, 50505341	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=CC=CC(F)=C3N2)C=C1	CHEMBL4558610, 50505340	0
CC(C)(O)C1=CC=C(C2=NC(=O)C3=CC=CC=C3N2)C=C1	CHEMBL4475367, 50505338	0
CC(C)(OCCO)C1=CC=C(C2=NC(=O)C3=CC(F)=CC=C3N2)C=C1	CHEMBL4536612, 50505342	0
CC(C)C(=O)N1CCN(C(=O)C2=CC(CC3=CNC(=O)C4=CC(Cl)=C(Cl)N34)=CC=C2F)CC1	CHEMBL592543, 50309376	1
CC(C)C(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3CCCC4)=CC=C2F)CC1	CHEMBL3944818, 214475	1
CC(C)C(=O)N1CCN(C(=O)C2=CC(CC3=NNC(=O)C4=C3NCCC4)=CC=C2F)CC1	CHEMBL3982693, 214461	1
CC(C)C(=O)N1CCN(CC2=C(O)C=C(O)C3=C2OC(C2=CC=C(O)C=C2)=CC3=O)CC1	CHEMBL4870649, 50579029	1
CC(C)C(=O)NC1=CC=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1	50165473, CHEMBL193512	0
CC(C)C(=O)NCC1=NC(C2=CC=C3NC4=C5CCCC5=C5C(=O)NC(=O)C5=C4C3=C2)=CS1	CHEMBL246128, 50197597	1
CC(C)C1=CC=C(C(=O)NC2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	CHEMBL3974749, 214124	0
CC(C)C1=CC=C(C2=CC(=O)C3=CC=CC=C3O2)C=C1	CHEMBL2431867	0
CC(C)C1=CC=C(C2C3=NNC(=O)C4=CC=CC(=C34)NC2C2=CC=C(CN(C)C)C=C2)C=C1	CHEMBL3763164, 50145091	1
CC(C)C1=CC=C(CN2C=C(/C=C3\SC(=O)NC3=O)C3=CC=CC=C32)C=C1	CHEMBL4099515, 50249337	0
CC(C)C1=CC=C(NC(=O)C2=CC=CC(CC3=NNC(=O)C4=C3CCCC4)=C2)C=C1	214271, CHEMBL3909881	0
CC(C)C1=CC=C(NC2=NC3=CC=CC=C3N3N=NN=C23)C=C1	50238425	0
CC(C)C1=CC=C(S(=O)(=O)N2CCCN(CC3=NC4=C5C(=CC=CC5=N3)C(=O)NN4)CC2)C=C1	CHEMBL3644606, 139677	1
CC(C)C1=CC=C(S(=O)(=O)N2CCN(CC3=NC4=C5C(=CC=CC5=N3)C(=O)NN4)CC2)C=C1	CHEMBL3644604, 139675	1
